"id","surgerytimestamp","species","name","tl","sl","weight","sex","firstposition","lastposition"
10,2009-09-07 00:00:00.000,4,Perch,313.0,0.0,438.0,female,2009-09-10 00:00:00.000,2010-05-05 00:00:00.000
82,2009-09-07 00:00:00.000,3,Catfish,1410.0,0.0,23855.0,?,2009-09-10 00:00:00.000,2010-09-28 00:00:00.000
26,2009-09-08 00:00:00.000,5,Pike,619.0,0.0,1531.0,female,2009-09-10 00:00:00.000,2011-02-11 00:00:00.000
65,2009-09-16 00:00:00.000,5,Pike,359.0,314.0,262.0,female,2009-09-16 00:00:00.000,2010-09-07 00:00:00.000
32,2009-09-16 00:00:00.000,5,Pike,551.0,495.0,879.0,female,2009-09-16 00:00:00.000,2011-06-24 00:00:00.000
43,2009-09-16 00:00:00.000,5,Pike,343.0,301.0,240.0,male,2009-09-16 00:00:00.000,2010-08-28 00:00:00.000
27,2009-09-16 00:00:00.000,5,Pike,443.0,390.0,468.0,female,2009-09-23 00:00:00.000,2010-08-10 00:00:00.000
36,2009-09-16 00:00:00.000,5,Pike,461.0,400.0,543.0,female,2009-09-16 00:00:00.000,2010-08-17 00:00:00.000
72,2009-09-16 00:00:00.000,5,Pike,505.0,443.0,673.0,female,2009-09-16 00:00:00.000,2011-06-25 00:00:00.000
73,2009-09-16 00:00:00.000,5,Pike,369.0,325.0,266.0,female,2009-09-16 00:00:00.000,2010-07-30 00:00:00.000
46,2009-09-16 00:00:00.000,5,Pike,415.0,363.0,458.0,female,2009-09-16 00:00:00.000,2010-08-10 00:00:00.000
53,2009-09-16 00:00:00.000,5,Pike,522.0,463.0,828.0,female,2009-09-16 00:00:00.000,2011-03-12 00:00:00.000
70,2009-09-16 00:00:00.000,5,Pike,399.0,347.0,341.0,female,2009-09-17 00:00:00.000,2010-07-09 00:00:00.000
41,2009-09-16 00:00:00.000,5,Pike,349.0,307.0,227.0,female,2009-09-16 00:00:00.000,2009-12-19 00:00:00.000
40,2009-09-16 00:00:00.000,5,Pike,368.0,323.0,246.0,female,2009-09-16 00:00:00.000,2009-11-15 00:00:00.000
61,2009-09-16 00:00:00.000,5,Pike,435.0,381.0,437.0,male,2009-09-16 00:00:00.000,2009-10-30 00:00:00.000
50,2009-09-16 00:00:00.000,5,Pike,389.0,337.0,328.0,female,2009-09-16 00:00:00.000,2009-10-06 00:00:00.000
77,2009-09-16 00:00:00.000,5,Pike,538.0,475.0,877.0,female,2009-09-16 00:00:00.000,2011-05-08 00:00:00.000
64,2009-09-23 00:00:00.000,5,Pike,528.0,457.0,842.0,male,2009-09-23 00:00:00.000,2011-03-19 00:00:00.000
68,2009-09-23 00:00:00.000,5,Pike,355.0,311.0,233.0,female,2009-09-24 00:00:00.000,2011-11-17 00:00:00.000
23,2009-09-23 00:00:00.000,5,Pike,506.0,441.0,778.0,female,2009-09-23 00:00:00.000,2011-04-20 00:00:00.000
9,2009-09-23 00:00:00.000,4,Perch,368.0,328.0,747.0,female,2009-09-23 00:00:00.000,2010-04-22 00:00:00.000
71,2009-09-23 00:00:00.000,5,Pike,554.0,482.0,971.0,female,2009-09-23 00:00:00.000,2011-04-17 00:00:00.000
67,2009-09-23 00:00:00.000,5,Pike,422.0,369.0,403.0,female,2009-09-23 00:00:00.000,2010-06-08 00:00:00.000
6,2009-09-23 00:00:00.000,4,Perch,337.0,297.0,572.0,female,2009-09-23 00:00:00.000,2010-06-03 00:00:00.000
45,2009-09-23 00:00:00.000,5,Pike,545.0,480.0,949.0,male,2009-09-23 00:00:00.000,2011-06-22 00:00:00.000
2,2009-09-23 00:00:00.000,4,Perch,367.0,322.0,735.0,female,2009-09-23 00:00:00.000,2010-04-25 00:00:00.000
80,2009-09-23 00:00:00.000,5,Pike,675.0,597.0,1696.0,female,2009-09-23 00:00:00.000,2010-08-17 00:00:00.000
62,2009-09-23 00:00:00.000,5,Pike,581.0,523.0,1118.0,female,2009-09-23 00:00:00.000,2011-05-07 00:00:00.000
56,2009-09-24 00:00:00.000,5,Pike,443.0,389.0,468.0,female,2009-09-24 00:00:00.000,2011-06-25 00:00:00.000
34,2009-09-24 00:00:00.000,5,Pike,569.0,505.0,990.0,female,2009-09-24 00:00:00.000,2011-03-01 00:00:00.000
49,2009-09-24 00:00:00.000,5,Pike,465.0,410.0,666.0,female,2009-09-24 00:00:00.000,2009-09-29 00:00:00.000
31,2009-09-24 00:00:00.000,5,Pike,528.0,470.0,838.0,female,2009-09-24 00:00:00.000,2011-06-21 00:00:00.000
63,2009-09-24 00:00:00.000,5,Pike,472.0,419.0,509.0,female,2009-09-24 00:00:00.000,2011-04-25 00:00:00.000
28,2009-09-24 00:00:00.000,5,Pike,703.0,635.0,1820.0,female,2009-09-24 00:00:00.000,2011-02-09 00:00:00.000
52,2009-09-24 00:00:00.000,5,Pike,490.0,432.0,646.0,female,2009-09-24 00:00:00.000,2009-12-25 00:00:00.000
47,2009-09-24 00:00:00.000,5,Pike,477.0,418.0,568.0,female,2009-09-24 00:00:00.000,2010-05-27 00:00:00.000
22,2009-09-24 00:00:00.000,5,Pike,423.0,375.0,418.0,female,2009-09-24 00:00:00.000,2009-10-27 00:00:00.000
21,2009-09-24 00:00:00.000,5,Pike,586.0,520.0,1147.0,female,2009-09-24 00:00:00.000,2010-04-14 00:00:00.000
69,2009-09-24 00:00:00.000,5,Pike,464.0,408.0,524.0,female,2009-09-24 00:00:00.000,2010-11-05 00:00:00.000
74,2009-09-24 00:00:00.000,5,Pike,402.0,352.0,353.0,female,2009-09-24 00:00:00.000,2010-08-17 00:00:00.000
24,2009-09-24 00:00:00.000,5,Pike,757.0,688.0,2170.0,female,2009-09-24 00:00:00.000,2009-10-28 00:00:00.000
37,2009-09-24 00:00:00.000,5,Pike,627.0,554.0,1257.0,female,2009-09-24 00:00:00.000,2010-06-02 00:00:00.000
39,2009-09-24 00:00:00.000,5,Pike,436.0,377.0,456.0,male,2009-09-24 00:00:00.000,2010-05-27 00:00:00.000
19,2009-09-25 00:00:00.000,4,Perch,383.0,347.0,964.0,female,2009-09-25 00:00:00.000,2010-07-09 00:00:00.000
14,2009-09-25 00:00:00.000,4,Perch,400.0,349.0,1005.0,female,2009-09-25 00:00:00.000,2009-10-09 00:00:00.000
