Depth,Temperature [°C],Oxygen [mg/l],timestamp
0.0,,,2010-02-17 00:00:00
0.5,0.5,7.4,2010-02-17 00:00:00
1.0,2.0,7.5,2010-02-17 00:00:00
1.5,2.8,7.0,2010-02-17 00:00:00
2.0,3.1,6.7,2010-02-17 00:00:00
2.5,3.3,5.6,2010-02-17 00:00:00
3.0,3.5,5.4,2010-02-17 00:00:00
3.5,4.0,3.8,2010-02-17 00:00:00
4.0,4.2,2.96,2010-02-17 00:00:00
4.5,,,2010-02-17 00:00:00
5.0,4.8,1.23,2010-02-17 00:00:00
5.5,,,2010-02-17 00:00:00
6.0,5.1,0.0,2010-02-17 00:00:00
6.5,,,2010-02-17 00:00:00
7.0,,,2010-02-17 00:00:00
7.5,,,2010-02-17 00:00:00
8.0,,,2010-02-17 00:00:00
8.5,,,2010-02-17 00:00:00
9.0,,,2010-02-17 00:00:00
9.5,,,2010-02-17 00:00:00
10.0,,,2010-02-17 00:00:00
0.0,,,2010-03-09 00:00:00
0.5,1.3,6.88,2010-03-09 00:00:00
1.0,2.8,6.8,2010-03-09 00:00:00
1.5,3.4,6.35,2010-03-09 00:00:00
2.0,3.8,6.33,2010-03-09 00:00:00
2.5,4.0,4.53,2010-03-09 00:00:00
3.0,4.2,3.37,2010-03-09 00:00:00
3.5,4.4,3.14,2010-03-09 00:00:00
4.0,4.4,2.16,2010-03-09 00:00:00
4.5,4.5,2.44,2010-03-09 00:00:00
5.0,4.5,1.83,2010-03-09 00:00:00
5.5,4.7,0.18,2010-03-09 00:00:00
6.0,4.8,0.14,2010-03-09 00:00:00
6.5,,,2010-03-09 00:00:00
7.0,,,2010-03-09 00:00:00
7.5,,,2010-03-09 00:00:00
8.0,,,2010-03-09 00:00:00
8.5,,,2010-03-09 00:00:00
9.0,,,2010-03-09 00:00:00
9.5,,,2010-03-09 00:00:00
10.0,,,2010-03-09 00:00:00
0.0,21.3,9.95,2010-06-08 15:30:00
0.5,20.6,9.75,2010-06-08 15:30:00
1.0,19.9,9.75,2010-06-08 15:30:00
1.5,19.4,9.75,2010-06-08 15:30:00
2.0,19.1,9.63,2010-06-08 15:30:00
2.5,17.7,11.7,2010-06-08 15:30:00
3.0,16.0,12.0,2010-06-08 15:30:00
3.5,14.7,10.8,2010-06-08 15:30:00
4.0,13.9,10.2,2010-06-08 15:30:00
4.5,13.0,9.5,2010-06-08 15:30:00
5.0,12.2,8.2,2010-06-08 15:30:00
5.5,11.5,4.8,2010-06-08 15:30:00
6.0,10.9,3.3,2010-06-08 15:30:00
6.5,10.2,0.35,2010-06-08 15:30:00
7.0,9.5,0.18,2010-06-08 15:30:00
7.5,9.3,0.11,2010-06-08 15:30:00
8.0,9.0,0.07,2010-06-08 15:30:00
8.5,,,2010-06-08 15:30:00
9.0,,,2010-06-08 15:30:00
9.5,,,2010-06-08 15:30:00
10.0,,,2010-06-08 15:30:00
0.0,19.2,9.49,2010-06-21 15:00:00
0.5,19.1,9.41,2010-06-21 15:00:00
1.0,19.0,9.5,2010-06-21 15:00:00
1.5,18.8,9.48,2010-06-21 15:00:00
2.0,18.7,9.49,2010-06-21 15:00:00
2.5,18.5,9.49,2010-06-21 15:00:00
3.0,18.5,9.28,2010-06-21 15:00:00
3.5,18.2,9.85,2010-06-21 15:00:00
4.0,16.4,11.42,2010-06-21 15:00:00
4.5,14.2,9.87,2010-06-21 15:00:00
5.0,12.9,7.47,2010-06-21 15:00:00
5.5,11.6,1.63,2010-06-21 15:00:00
6.0,10.6,0.21,2010-06-21 15:00:00
6.5,10.0,0.07,2010-06-21 15:00:00
7.0,9.6,0.04,2010-06-21 15:00:00
7.5,9.4,0.03,2010-06-21 15:00:00
8.0,9.0,0.02,2010-06-21 15:00:00
